i,player_name,player_id,avg_rank
121,Roger Federer,103819,1.99715
139,Rafael Nadal,104745,2.00043
146,Novak Djokovic,104925,2.16918
61,Boris Becker,101414,5.57542
77,Pete Sampras,101948,5.58024
40,Ivan Lendl,100656,5.83062
19,Jimmy Connors,100284,6.22086
33,John McEnroe,100581,8.03963
57,Stefan Edberg,101222,8.82211
66,Andre Agassi,101736,8.99124
147,Andy Murray,104918,11.16616
25,Bjorn Borg,100437,13.12287
44,Mats Wilander,101062,14.69744
93,Yevgeny Kafelnikov,102338,14.89759
18,Guillermo Vilas,100282,15.23234
130,Andy Roddick,104053,15.24345
165,Alexander Zverev,100644,15.35636
73,Jim Courier,101793,19.0769
76,Michael Chang,102021,19.23982
118,Lleyton Hewitt,103720,19.43962
72,Goran Ivanisevic,101964,22.02875
132,David Ferrer,103970,22.2075
163,Daniil Medvedev,106421,23.26898
128,Nikolay Davydenko,103786,24.08435
116,Marat Safin,103498,26.37234
169,Stefanos Tsitsipas,126774,27.09219
23,Vitas Gerulaitis,100342,27.69208
100,Gustavo Kuerten,102856,27.79926
143,Tomas Berdych,104607,30.54044
74,Michael Stich,101529,32.06576
64,Thomas Muster,101404,32.08313
140,Stan Wawrinka,104527,32.0917
105,Carlos Moya,102845,32.23331
162,Dominic Thiem,106233,32.90398
151,Juan Martin del Potro,105223,33.02187
37,Yannick Noah,100676,33.76363
120,Juan Carlos Ferrero,103507,33.88745
178,Carlos Alcaraz,207989,38.468
87,Patrick Rafter,102158,38.76691
126,David Nalbandian,103900,42.46998
79,Sergi Bruguera,101843,42.89144
155,Kei Nishikori,105453,43.24542
42,Andres Gomez,100653,43.65168
97,Tim Henman,102450,43.8066
167,Andrey Rublev,126094,45.33901
4,John Newcombe,100087,45.61388
119,Guillermo Coria,103909,48.31002
69,Petr Korda,101434,49.35167
7,Ilie Nastase,100119,50.06703
31,Gene Mayer,100428,50.20724
150,Marin Cilic,105227,50.20867
176,Casper Ruud,134770,50.57986
36,Jose Luis Clerc,100555,51.79586
96,Marcelo Rios,102701,53.83591
138,Jo-Wilfried Tsonga,104542,55.84664
10,Manuel Orantes,100174,58.07398
3,Tom Okker,100084,58.23298
90,Alex Corretja,102374,61.51327
13,Eddie Dibbs,100232,61.8796
1,Rod Laver,100029,62.96549
98,Magnus Norman,102796,64.11599
142,Robin Soderling,104417,64.50493
156,Milos Raonic,105683,65.24291
53,Miloslav Mecir,101036,65.24833
8,Stan Smith,100126,66.92881
20,Harold Solomon,100286,67.3142
6,Jan Kodes,100113,67.45163
16,Brian Gottfried,100261,68.19547
2,Arthur Ashe,100074,69.29145
15,Roscoe Tanner,100255,69.30043
50,Brad Gilbert,100763,69.56187
115,Ivan Ljubicic,103344,69.65016
0,Ken Rosewall,100016,71.97103
124,James Blake,103484,72.45516
22,Raul Ramirez,100309,75.6768
5,Alex Metreveli,100092,76.34969
157,Grigor Dimitrov,105777,77.28528
103,Tommy Haas,103163,77.51127
83,Thomas Enqvist,102358,77.51675
51,Guy Forget,101098,77.70035
49,Pat Cash,101138,81.36437
82,Richard Krajicek,101990,81.7096
9,Tom Gorman,100127,83.46741
179,Holger Rune,208029,85.76969
26,Jose Higueras,100300,86.30679
174,Matteo Berrettini,126610,86.66258
84,Greg Rusedski,102257,87.11736
91,Jonas Bjorkman,102035,90.23416
14,John Alexander,100244,90.9882
11,Adriano Panatta,100214,91.81294
46,Jimmy Arias,101061,93.0493
89,Andrei Medvedev,102446,94.20646
177,Jannik Sinner,206173,94.26195
149,Kevin Anderson,104731,95.42419
85,Todd Martin,101774,96.26227
