i,player_name,player_id,avg_rank
8,Steffi Graf,200414,1.50082
24,Serena Williams,200033,1.74893
0,Martina Navratilova,200293,3.59257
19,Martina Hingis,200001,3.93898
55,Iga Swiatek,216347,5.87411
18,Lindsay Davenport,200128,6.1241
1,Chris Evert,200259,6.48945
47,Ashleigh Barty,202458,8.43412
15,Monica Seles,200652,8.9862
26,Justine Henin,200003,9.4878
38,Caroline Wozniacki,201496,11.96542
41,Simona Halep,201594,11.97024
32,Maria Sharapova,201345,13.30008
53,Aryna Sabalenka,214544,13.30147
27,Kim Clijsters,200079,13.30337
35,Victoria Azarenka,201458,16.74049
20,Amelie Mauresmo,200065,16.86534
21,Venus Williams,200748,18.25243
12,Arantxa Sanchez Vicario,200017,19.35716
31,Dinara Safina,201336,20.58655
37,Angelique Kerber,201493,21.02648
51,Naomi Osaka,211768,21.03486
48,Anett Kontaveit,204426,23.7702
11,Jana Novotna,200539,24.34053
45,Ons Jabeur,202460,24.42587
33,Jelena Jankovic,201347,26.67554
50,Barbora Krejcikova,206252,28.01472
42,Karolina Pliskova,201662,28.36851
52,Paula Badosa,211651,28.8997
49,Maria Sakkari,206289,30.97922
34,Ana Ivanovic,201421,31.41845
44,Garbine Muguruza,202469,32.43163
28,Na Li,201419,34.05279
17,Jennifer Capriati,200077,36.37023
54,Elena Rybakina,214981,36.54456
56,Cori Gauff,221103,36.55161
43,Jessica Pegula,202468,36.55912
29,Svetlana Kuznetsova,201320,37.57509
6,Manuela Maleeva Fragniere,200401,42.16665
5,Hana Mandlikova,200348,42.17336
2,Andrea Jaeger,200381,42.18027
3,Pam Shriver,200360,42.18498
7,Gretchen Magers,200503,42.18651
4,Wendy Turnbull,200209,42.19546
39,Petra Kvitova,201520,45.60906
30,Vera Zvonareva,201329,45.80504
36,Agnieszka Radwanska,201474,47.40151
23,Elena Dementieva,200108,47.93654
14,Conchita Martinez,200049,48.29169
9,Nathalie Tauziat,200097,48.31125
10,Gabriela Sabatini,200572,48.34815
13,Amanda Coetzer,200064,50.56143
46,Elina Svitolina,202494,51.80003
40,Sloane Stephens,201585,52.13193
22,Anastasia Myskina,200772,52.26135
25,Nadia Petrova,200069,54.27404
16,Mary Pierce,200096,56.32201
