i,player_name,player_id,avg_rank
71,Roger Federer,103819,2.9983
83,Novak Djokovic,104925,3.00352
79,Rafael Nadal,104745,3.16409
43,Pete Sampras,101948,3.16875
13,Jimmy Connors,100284,3.22604
23,Ivan Lendl,100656,5.49919
19,John McEnroe,100581,6.94011
36,Andre Agassi,101736,8.49955
33,Stefan Edberg,101222,8.7505
84,Andy Murray,104918,10.5012
34,Boris Becker,101414,11.43563
17,Bjorn Borg,100437,11.44289
25,Mats Wilander,101062,12.64218
68,Lleyton Hewitt,103720,15.13656
39,Jim Courier,101793,15.56503
76,Andy Roddick,104053,16.70064
53,Yevgeny Kafelnikov,102338,18.78795
58,Gustavo Kuerten,102856,19.12204
12,Guillermo Vilas,100282,19.1665
92,Daniil Medvedev,106421,19.19797
99,Carlos Alcaraz,207989,19.35559
66,Marat Safin,103498,21.23852
5,Jan Kodes,100113,23.4775
70,Juan Carlos Ferrero,103507,23.79434
42,Michael Chang,102021,26.21712
93,Alexander Zverev,100644,26.31866
4,John Newcombe,100087,28.08766
49,Patrick Rafter,102158,28.77191
40,Michael Stich,101529,29.15919
80,Stan Wawrinka,104527,30.63104
75,Nikolay Davydenko,103786,31.72144
35,Thomas Muster,101404,31.97121
6,Ilie Nastase,100119,32.22474
54,Marcelo Rios,102701,33.95017
95,Stefanos Tsitsipas,126774,37.1049
16,Vitas Gerulaitis,100342,37.50143
7,Stan Smith,100126,37.55963
38,Goran Ivanisevic,101964,38.11591
59,Tommy Haas,103163,41.2143
3,Tom Okker,100084,42.71902
0,Ken Rosewall,100016,43.64328
1,Rod Laver,100029,43.66118
8,Manuel Orantes,100174,43.79451
91,Dominic Thiem,106233,44.17329
74,David Nalbandian,103900,45.95016
61,Carlos Moya,102845,46.06804
97,Casper Ruud,134770,46.27892
56,Magnus Norman,102796,46.3472
37,Petr Korda,101434,47.28009
77,David Ferrer,103970,47.74627
2,Arthur Ashe,100074,48.34966
87,Juan Martin del Potro,105223,49.74909
69,Guillermo Coria,103909,53.44788
44,Sergi Bruguera,101843,56.16709
65,Ivan Ljubicic,103344,56.33211
11,Brian Gottfried,100261,57.52009
21,Yannick Noah,100676,58.47161
51,Alex Corretja,102374,58.86411
98,Jannik Sinner,206173,60.25802
90,Grigor Dimitrov,105777,63.1969
86,Marin Cilic,105227,65.0636
64,Sebastien Grosjean,103206,66.70217
100,Holger Rune,208029,68.14403
47,Greg Rusedski,102257,68.4419
81,Robin Soderling,104417,68.95674
18,Gene Mayer,100428,69.69898
52,Jonas Bjorkman,102035,70.93025
89,Milos Raonic,105683,71.27943
96,Taylor Fritz,126203,72.27221
14,Harold Solomon,100286,72.8452
62,Nicolas Kiefer,103017,72.99887
29,Pat Cash,101138,73.03748
30,Brad Gilbert,100763,73.06168
15,Raul Ramirez,100309,73.08677
26,Anders Jarryd,100757,73.13381
10,Roscoe Tanner,100255,73.61397
78,Jo-Wilfried Tsonga,104542,76.90316
94,Andrey Rublev,126094,79.18147
55,Tim Henman,102450,79.71515
24,Andres Gomez,100653,79.81598
20,Jose Luis Clerc,100555,79.89518
50,Andrei Medvedev,102446,81.2472
72,James Blake,103484,82.18244
48,Todd Martin,101774,82.2189
22,Kevin Curren,100529,82.22196
73,Tommy Robredo,103990,82.31456
27,Jimmy Arias,101061,82.43754
45,Richard Krajicek,101990,83.26039
88,Kei Nishikori,105453,86.06881
57,Jiri Novak,102562,86.38111
60,Rainer Schuettler,102783,86.56325
9,Eddie Dibbs,100232,88.20066
46,Thomas Enqvist,102358,89.14489
67,Fernando Gonzalez,103602,90.99257
85,Kevin Anderson,104731,93.35235
63,Gaston Gaudio,103292,94.08675
28,Henri Leconte,100936,94.48306
82,Tomas Berdych,104607,95.31434
31,Guy Forget,101098,95.41039
32,Miloslav Mecir,101036,95.8557
41,Cedric Pioline,101611,97.10268
