i,player_name,player_id,avg_rank
8,Steffi Graf,200414,1.49958
24,Serena Williams,200033,1.7496
0,Martina Navratilova,200293,3.59076
19,Martina Hingis,200001,3.9358
55,Iga Swiatek,216347,5.87634
18,Lindsay Davenport,200128,6.1302
1,Chris Evert,200259,6.47705
47,Ashleigh Barty,202458,8.08847
15,Monica Seles,200652,9.31115
41,Simona Halep,201594,9.8592
26,Justine Henin,200003,10.57109
38,Caroline Wozniacki,201496,12.40268
32,Maria Sharapova,201345,13.50574
27,Kim Clijsters,200079,13.50841
53,Aryna Sabalenka,214544,13.50989
35,Victoria Azarenka,201458,16.739
20,Amelie Mauresmo,200065,16.86812
21,Venus Williams,200748,18.62207
12,Arantxa Sanchez Vicario,200017,19.54813
51,Naomi Osaka,211768,20.07034
31,Dinara Safina,201336,21.0619
37,Angelique Kerber,201493,21.21929
45,Ons Jabeur,202460,23.76362
48,Anett Kontaveit,204426,24.22905
11,Jana Novotna,200539,24.87336
33,Jelena Jankovic,201347,26.29788
42,Karolina Pliskova,201662,27.24646
52,Paula Badosa,211651,28.10819
50,Barbora Krejcikova,206252,29.75438
34,Ana Ivanovic,201421,29.88034
44,Garbine Muguruza,202469,31.63777
49,Maria Sakkari,206289,32.37679
28,Na Li,201419,34.07124
43,Jessica Pegula,202468,34.75414
56,Cori Gauff,221103,35.85544
17,Jennifer Capriati,200077,36.99474
54,Elena Rybakina,214981,39.44083
29,Svetlana Kuznetsova,201320,40.53103
7,Gretchen Magers,200503,41.05732
4,Wendy Turnbull,200209,41.29083
3,Pam Shriver,200360,41.30977
2,Andrea Jaeger,200381,41.31421
6,Manuela Maleeva Fragniere,200401,41.31559
5,Hana Mandlikova,200348,41.32319
39,Petra Kvitova,201520,45.25983
30,Vera Zvonareva,201329,45.38183
36,Agnieszka Radwanska,201474,47.54326
9,Nathalie Tauziat,200097,48.1716
23,Elena Dementieva,200108,48.25587
10,Gabriela Sabatini,200572,48.49867
46,Elina Svitolina,202494,51.87285
22,Anastasia Myskina,200772,51.88055
40,Sloane Stephens,201585,51.88213
25,Nadia Petrova,200069,51.99775
14,Conchita Martinez,200049,52.0082
13,Amanda Coetzer,200064,52.46378
16,Mary Pierce,200096,56.2127
